Based on 1990 population
countrynm                     latitude                      longitude                     population
Jersey                        49.219615936279               -2.1376717090607              88459
Latvia                        56.831191706188               24.496056054831               2353320
Liechtenstein                 47.152644353309               9.5490772442771               34418
Lithuania                     55.223194780885               23.887086150639               3652724
Luxembourg                    49.643734947502               6.0837996175026               463708
Macedonia                     41.742844591767               21.554126089671               2064147
Malta                         35.898859068436               14.457981961126               397732
Monaco                        43.740207672119               7.4421668052673               34927
Netherlands                   52.072871145825               5.2875541627667               16142345
Norway                        61.128336570352               9.9468336009803               4551686
Poland                        51.707976823759               19.308388806995               38426947
Portugal                      39.74693753116                -9.1672490596965              10080168
Republic of Moldova           47.174628112514               28.599711045173               4239195
Romania                       45.692835166704               25.283411622442               22150243
Russia                        53.81563056044                54.539619724253               140919874
San Marino                    43.93830871582                12.463205337524               28032
Serbia and Montenegro         43.72573916897                20.74644037035                10705472
Slovakia                      48.662536038829               19.164300350224               5419247
Slovenia                      46.169295822703               14.89236963709                1975861
Spain                         39.720397339383               -3.2923251997811              39874345
Svalbard                      78.597373962402               15.905464172363               2411
Sweden                        58.913317696441               15.528746561364               8784967
Switzerland                   47.025712614417               7.9586515381984               7148011
Ukraine                       48.808076188342               31.766935926448               47298326
United Kingdom                52.745166767654               -1.6847761296012              59940190

Based on (predicted) 2005 population
countrynm                     latitude                      longitude                     population
Albania                       41.194385181718               19.911378352789               3311165
Andorra                       42.513021047994               1.5595993976499               125758
Austria                       47.765193698288               14.634123877631               7953364
Belarus                       53.534380910258               27.811009864462               9819067
Belgium                       50.844559858929               4.4371970671517               10296061
Bosnia-Herzegovina            44.162657085137               17.76117008933                4269082
Bulgaria                      42.751706708083               25.08740596299                7185012
Croatia                       45.317641918746               16.262944879793               4650346
Cyprus                        34.966786722093               33.257168812252               840762
Czech Republic                49.821788117433               15.613237699363               10137894
Denmark                       55.853126914967               10.864851918353               5373881
Estonia                       58.95164739167                25.564377650019               1252780
Faeroe Islands                62.094657785615               -6.8992594117634              50564
Finland                       61.728144020734               25.050425796452               5187429
France                        47.123369318629               2.6805478522224               61203442
Germany                       50.846581236184               9.6860092676237               81353411
Gibraltar                     36.136024475098               -5.3476929664612              26123
Greece                        38.670817410627               23.35157654924                10579163
Guernsey                      49.484886169434               -2.5164697170258              56290
Holy See                      41.831249237061               12.541416168213               780
Hungary                       47.288791635008               19.392519162737               9489103
Iceland                       64.340333059033               -20.96036771032               296956
Ireland                       53.115425619273               -7.4069761943761              4201258
Isle of Man                   54.185815083041               -4.5297579259592              81238
Italy                         42.878891770737               12.129225229324               56390486
Jersey                        49.219615936279               -2.1376717090607              90077
Latvia                        56.831629532001               24.50875799043                2288362
Liechtenstein                 47.152650898499               9.5490759866394               36006
Lithuania                     55.226946021432               23.888296821978               3594322
Luxembourg                    49.644268461894               6.0836201926406               490433
Macedonia                     41.747899934658               21.548337843116               2071769
Malta                         35.898943592181               14.457666803172               404739
Monaco                        43.740207672119               7.4421668052673               36244
Netherlands                   52.069769909488               5.2856484460503               16313228
Norway                        61.089862500005               9.9201984517371               4613845
Poland                        51.713706077277               19.309306988862               38253292
Portugal                      39.754897778195               -9.1584962508473              10082242
Republic of Moldova           47.169330463516               28.60187295802                4189587
Romania                       45.697064599798               25.294628633891               21819156
Russia                        53.727345202945               54.047898583217               136975706
San Marino                    43.93830871582                12.463205337524               29407
Serbia and Montenegro         43.695670346703               20.747344298673               10788974
Slovakia                      48.665747359116               19.16412401028                5429844
Slovenia                      46.167165804776               14.886165339852               1955026
Spain                         39.674578415577               -3.2843582298931              39568735
Svalbard                      78.597373962402               15.905464172363               2226
Sweden                        58.888444437865               15.535572129725               8702938
Switzerland                   47.022583268843               7.9530278276365               7072677
Ukraine                       48.807997292128               31.732572912027               45239327
United Kingdom                52.735567708185               -1.6789861408734              60261667
