country1	country2	n	f
Slovenia	Switzerland	86055	0.001176032654100007
Slovenia	United Kingdom of Great Britain and Northern Ireland (the)	139075.5	0.001900613902565633
Spain	Spain	1655528017.8849201	0.9760726636952215
Spain	Sweden	2834419	0.0016711278054314749
Spain	Switzerland	4902340.5	0.0028903410262360076
Spain	United Kingdom of Great Britain and Northern Ireland (the)	32846669.5	0.019365867473111052
Sweden	Sweden	338556878.93055695	0.9909886263435511
Sweden	Switzerland	506472	0.0014824923751273705
Sweden	United Kingdom of Great Britain and Northern Ireland (the)	2572133	0.007528881281321551
Switzerland	Switzerland	284816820.69226635	0.9808625981599061
Switzerland	United Kingdom of Great Britain and Northern Ireland (the)	5557000.5	0.019137401840093986
Turkey	United Kingdom of Great Britain and Northern Ireland (the)	0	NaN
United Kingdom of Great Britain and Northern Ireland (the)	United Kingdom of Great Britain and Northern Ireland (the)	2264110024.5167913	1
