area	metric	ycc	pct_resistant
B	sales	1.1009174311926604	3.019271948608136
B	survey	1.5137614678899083	3.019271948608136
E	sales	1.408256880733945	2.002141327623125
E	survey	1.3027522935779816	2.055674518201286
HG	sales	1.2201834862385321	9.014989293361882
HG	survey	1.5091743119266057	9.014989293361882
HH	survey	2.908256880733945	26.948608137044964
V	sales	2.6055045871559637	17.901498929336185
V	survey	1.7064220183486238	17.955032119914343
