did_pen	pct_res_pen
4.805779653478694	3.3089219894569384
5.190232126202537	4.891183791474594
5.283996920846304	5.523008296192945
5.573606930517124	5.999271493418945
5.718702370810347	3.826151872311452
5.798572121709219	8.5003284139109
5.987049447753831	5.102895954144332
6.100219916802596	4.1170459124273435
6.15091619026788	6.111063667882822
6.159292960314307	4.718756845993393
6.1991131901882905	7.005401063593829
6.250995408439649	1.9041060614458667
6.752415666439204	6.710379782761631
6.746920321855828	4.292428166075777
7.896617998490956	4.889884474952795
5.724606415749391	1.4869039376820758
5.790590100440493	1.1863918684339918
6.139412608743641	0.00162885515229938
