year	country	bug	drug	metric	value
2014	Latvia	Acinetobacter spp.	Aminoglycosides	n_ns	37
2014	Malta	Acinetobacter spp.	Aminoglycosides	n_ns	3
2014	Netherlands	Acinetobacter spp.	Aminoglycosides	n_ns	4
2014	Norway	Acinetobacter spp.	Aminoglycosides	n_ns	1
2014	Poland	Acinetobacter spp.	Aminoglycosides	n_ns	110
2014	Portugal	Acinetobacter spp.	Aminoglycosides	n_ns	112
2014	Romania	Acinetobacter spp.	Aminoglycosides	n_ns	99
2014	Sweden	Acinetobacter spp.	Aminoglycosides	n_ns	1
2014	Slovenia	Acinetobacter spp.	Aminoglycosides	n_ns	11
2014	Slovakia	Acinetobacter spp.	Aminoglycosides	n_ns	69
2014	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_ns	14
2015	Austria	Acinetobacter spp.	Aminoglycosides	n_ns	4
2015	Belgium	Acinetobacter spp.	Aminoglycosides	n_ns	0
2015	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_ns	89
2015	Cyprus	Acinetobacter spp.	Aminoglycosides	n_ns	48
2015	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_ns	9
2015	Germany	Acinetobacter spp.	Aminoglycosides	n_ns	19
2015	Denmark	Acinetobacter spp.	Aminoglycosides	n_ns	3
2015	Estonia	Acinetobacter spp.	Aminoglycosides	n_ns	2
2015	Greece	Acinetobacter spp.	Aminoglycosides	n_ns	847
2015	Spain	Acinetobacter spp.	Aminoglycosides	n_ns	52
2015	Finland	Acinetobacter spp.	Aminoglycosides	n_ns	1
2015	France	Acinetobacter spp.	Aminoglycosides	n_ns	50
2015	Croatia	Acinetobacter spp.	Aminoglycosides	n_ns	174
2015	Hungary	Acinetobacter spp.	Aminoglycosides	n_ns	282
2015	Ireland	Acinetobacter spp.	Aminoglycosides	n_ns	3
2015	Iceland	Acinetobacter spp.	Aminoglycosides	n_ns	0
2015	Italy	Acinetobacter spp.	Aminoglycosides	n_ns	490
2015	Lithuania	Acinetobacter spp.	Aminoglycosides	n_ns	66
2015	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_ns	0
2015	Latvia	Acinetobacter spp.	Aminoglycosides	n_ns	36
2015	Malta	Acinetobacter spp.	Aminoglycosides	n_ns	2
2015	Netherlands	Acinetobacter spp.	Aminoglycosides	n_ns	8
2015	Norway	Acinetobacter spp.	Aminoglycosides	n_ns	3
2015	Poland	Acinetobacter spp.	Aminoglycosides	n_ns	172
2015	Portugal	Acinetobacter spp.	Aminoglycosides	n_ns	144
2015	Romania	Acinetobacter spp.	Aminoglycosides	n_ns	155
2015	Sweden	Acinetobacter spp.	Aminoglycosides	n_ns	1
2015	Slovenia	Acinetobacter spp.	Aminoglycosides	n_ns	13
2015	Slovakia	Acinetobacter spp.	Aminoglycosides	n_ns	66
2015	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_ns	4
2012	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_ns	67.692307692
2012	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_ns	52.173913043
2012	Germany	Acinetobacter spp.	Aminoglycosides	pct_ns	5.882352941
2012	Denmark	Acinetobacter spp.	Aminoglycosides	pct_ns	10.38961039
2012	Greece	Acinetobacter spp.	Aminoglycosides	pct_ns	87.682333874
2012	France	Acinetobacter spp.	Aminoglycosides	pct_ns	12.949640288
2012	Hungary	Acinetobacter spp.	Aminoglycosides	pct_ns	68.796068796
