year	region	bug	drug	n_isolates	pct_resistant
1999	East North Central	Acinetobacter baumannii	Amikacin	105	10
2000	East North Central	Acinetobacter baumannii	Amikacin	120	23
2001	East North Central	Acinetobacter baumannii	Amikacin	140	26
2002	East North Central	Acinetobacter baumannii	Amikacin	109	17
2003	East North Central	Acinetobacter baumannii	Amikacin	90	10
2004	East North Central	Acinetobacter baumannii	Amikacin	203	13
2005	East North Central	Acinetobacter baumannii	Amikacin	149	17
2006	East North Central	Acinetobacter baumannii	Amikacin	130	16
2007	East North Central	Acinetobacter baumannii	Amikacin	184	32
2008	East North Central	Acinetobacter baumannii	Amikacin	136	57
2009	East North Central	Acinetobacter baumannii	Amikacin	138	63
2010	East North Central	Acinetobacter baumannii	Amikacin	103	58
2011	East North Central	Acinetobacter baumannii	Amikacin	46	48
1999	East South Central	Acinetobacter baumannii	Amikacin	34	6
2000	East South Central	Acinetobacter baumannii	Amikacin	43	9
2001	East South Central	Acinetobacter baumannii	Amikacin	43	2
2002	East South Central	Acinetobacter baumannii	Amikacin	48	13
2003	East South Central	Acinetobacter baumannii	Amikacin	72	4
2004	East South Central	Acinetobacter baumannii	Amikacin	58	12
2005	East South Central	Acinetobacter baumannii	Amikacin	68	9
2006	East South Central	Acinetobacter baumannii	Amikacin	35	31
1999	Mid Atlantic	Acinetobacter baumannii	Amikacin	43	28
2000	Mid Atlantic	Acinetobacter baumannii	Amikacin	133	26
2001	Mid Atlantic	Acinetobacter baumannii	Amikacin	181	20
2002	Mid Atlantic	Acinetobacter baumannii	Amikacin	283	40
2003	Mid Atlantic	Acinetobacter baumannii	Amikacin	210	31
2004	Mid Atlantic	Acinetobacter baumannii	Amikacin	169	22
2005	Mid Atlantic	Acinetobacter baumannii	Amikacin	132	26
2006	Mid Atlantic	Acinetobacter baumannii	Amikacin	90	9
2007	Mid Atlantic	Acinetobacter baumannii	Amikacin	77	16
2008	Mid Atlantic	Acinetobacter baumannii	Amikacin	75	51
2005	Mountain	Acinetobacter baumannii	Amikacin	50	52
2006	Mountain	Acinetobacter baumannii	Amikacin	49	33
2007	Mountain	Acinetobacter baumannii	Amikacin	39	44
2006	New England	Acinetobacter baumannii	Amikacin	52	4
2007	New England	Acinetobacter baumannii	Amikacin	37	5
2000	Pacific	Acinetobacter baumannii	Amikacin	41	7
2001	Pacific	Acinetobacter baumannii	Amikacin	74	5
2002	Pacific	Acinetobacter baumannii	Amikacin	92	22
2003	Pacific	Acinetobacter baumannii	Amikacin	124	17
2004	Pacific	Acinetobacter baumannii	Amikacin	184	27
2005	Pacific	Acinetobacter baumannii	Amikacin	169	20
2006	Pacific	Acinetobacter baumannii	Amikacin	130	15
2007	Pacific	Acinetobacter baumannii	Amikacin	121	21
2008	Pacific	Acinetobacter baumannii	Amikacin	112	37
2009	Pacific	Acinetobacter baumannii	Amikacin	77	36
2010	Pacific	Acinetobacter baumannii	Amikacin	63	24
2011	Pacific	Acinetobacter baumannii	Amikacin	63	30
1999	South Atlantic	Acinetobacter baumannii	Amikacin	48	6
2000	South Atlantic	Acinetobacter baumannii	Amikacin	118	11
2001	South Atlantic	Acinetobacter baumannii	Amikacin	211	11
2002	South Atlantic	Acinetobacter baumannii	Amikacin	201	17
2003	South Atlantic	Acinetobacter baumannii	Amikacin	209	20
2004	South Atlantic	Acinetobacter baumannii	Amikacin	259	14
2005	South Atlantic	Acinetobacter baumannii	Amikacin	271	15
2006	South Atlantic	Acinetobacter baumannii	Amikacin	160	18
2007	South Atlantic	Acinetobacter baumannii	Amikacin	128	26
2008	South Atlantic	Acinetobacter baumannii	Amikacin	152	26
2009	South Atlantic	Acinetobacter baumannii	Amikacin	128	38
2010	South Atlantic	Acinetobacter baumannii	Amikacin	55	45
2011	South Atlantic	Acinetobacter baumannii	Amikacin	61	23
2003	West North Central	Acinetobacter baumannii	Amikacin	40	43
2004	West North Central	Acinetobacter baumannii	Amikacin	37	11
2005	West North Central	Acinetobacter baumannii	Amikacin	31	26
2006	West North Central	Acinetobacter baumannii	Amikacin	32	19
1999	West South Central	Acinetobacter baumannii	Amikacin	60	12
2000	West South Central	Acinetobacter baumannii	Amikacin	44	5
2001	West South Central	Acinetobacter baumannii	Amikacin	45	2
2002	West South Central	Acinetobacter baumannii	Amikacin	46	20
2003	West South Central	Acinetobacter baumannii	Amikacin	37	3
2004	West South Central	Acinetobacter baumannii	Amikacin	54	17
2005	West South Central	Acinetobacter baumannii	Amikacin	56	14
2006	West South Central	Acinetobacter baumannii	Amikacin	76	22
2007	West South Central	Acinetobacter baumannii	Amikacin	99	23
2008	West South Central	Acinetobacter baumannii	Amikacin	76	37
2009	West South Central	Acinetobacter baumannii	Amikacin	63	29
2010	West South Central	Acinetobacter baumannii	Amikacin	43	28
2011	West South Central	Acinetobacter baumannii	Amikacin	30	40
2012	West South Central	Acinetobacter baumannii	Amikacin	43	37
1999	East North Central	Acinetobacter baumannii	Aminoglycosides	142	53
2000	East North Central	Acinetobacter baumannii	Aminoglycosides	159	57
2001	East North Central	Acinetobacter baumannii	Aminoglycosides	198	66
2002	East North Central	Acinetobacter baumannii	Aminoglycosides	115	64
2003	East North Central	Acinetobacter baumannii	Aminoglycosides	104	57
2004	East North Central	Acinetobacter baumannii	Aminoglycosides	220	62
2005	East North Central	Acinetobacter baumannii	Aminoglycosides	158	58
2006	East North Central	Acinetobacter baumannii	Aminoglycosides	130	56
2007	East North Central	Acinetobacter baumannii	Aminoglycosides	191	70
2008	East North Central	Acinetobacter baumannii	Aminoglycosides	144	75
2009	East North Central	Acinetobacter baumannii	Aminoglycosides	147	76
2010	East North Central	Acinetobacter baumannii	Aminoglycosides	105	69
2011	East North Central	Acinetobacter baumannii	Aminoglycosides	70	57
1999	East South Central	Acinetobacter baumannii	Aminoglycosides	37	43
2000	East South Central	Acinetobacter baumannii	Aminoglycosides	44	32
2001	East South Central	Acinetobacter baumannii	Aminoglycosides	47	23
2002	East South Central	Acinetobacter baumannii	Aminoglycosides	48	69
2003	East South Central	Acinetobacter baumannii	Aminoglycosides	77	81
2004	East South Central	Acinetobacter baumannii	Aminoglycosides	71	42
2005	East South Central	Acinetobacter baumannii	Aminoglycosides	81	48
2006	East South Central	Acinetobacter baumannii	Aminoglycosides	36	61
1999	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	46	52
2000	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	151	84
2001	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	215	63
2002	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	316	70
2003	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	250	64
2004	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	197	49
2005	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	162	44
2006	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	122	43
2007	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	107	42
2008	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	116	50
2009	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	53	47
2010	Mid Atlantic	Acinetobacter baumannii	Aminoglycosides	31	42
2003	Mountain	Acinetobacter baumannii	Aminoglycosides	34	62
2004	Mountain	Acinetobacter baumannii	Aminoglycosides	63	87
2005	Mountain	Acinetobacter baumannii	Aminoglycosides	64	86
2006	Mountain	Acinetobacter baumannii	Aminoglycosides	57	100
2007	Mountain	Acinetobacter baumannii	Aminoglycosides	44	98
2006	New England	Acinetobacter baumannii	Aminoglycosides	60	30
2007	New England	Acinetobacter baumannii	Aminoglycosides	43	26
1999	Pacific	Acinetobacter baumannii	Aminoglycosides	62	40
2000	Pacific	Acinetobacter baumannii	Aminoglycosides	89	42
2001	Pacific	Acinetobacter baumannii	Aminoglycosides	100	31
2002	Pacific	Acinetobacter baumannii	Aminoglycosides	112	62
2003	Pacific	Acinetobacter baumannii	Aminoglycosides	145	57
2004	Pacific	Acinetobacter baumannii	Aminoglycosides	201	69
2005	Pacific	Acinetobacter baumannii	Aminoglycosides	202	61
2006	Pacific	Acinetobacter baumannii	Aminoglycosides	169	41
2007	Pacific	Acinetobacter baumannii	Aminoglycosides	139	50
2008	Pacific	Acinetobacter baumannii	Aminoglycosides	138	47
2009	Pacific	Acinetobacter baumannii	Aminoglycosides	113	38
2010	Pacific	Acinetobacter baumannii	Aminoglycosides	77	34
2011	Pacific	Acinetobacter baumannii	Aminoglycosides	87	33
1999	South Atlantic	Acinetobacter baumannii	Aminoglycosides	103	31
2000	South Atlantic	Acinetobacter baumannii	Aminoglycosides	196	35
2001	South Atlantic	Acinetobacter baumannii	Aminoglycosides	282	43
2002	South Atlantic	Acinetobacter baumannii	Aminoglycosides	273	48
2003	South Atlantic	Acinetobacter baumannii	Aminoglycosides	294	42
2004	South Atlantic	Acinetobacter baumannii	Aminoglycosides	322	42
2005	South Atlantic	Acinetobacter baumannii	Aminoglycosides	356	50
2006	South Atlantic	Acinetobacter baumannii	Aminoglycosides	202	42
2007	South Atlantic	Acinetobacter baumannii	Aminoglycosides	194	38
2008	South Atlantic	Acinetobacter baumannii	Aminoglycosides	193	39
2009	South Atlantic	Acinetobacter baumannii	Aminoglycosides	155	56
2010	South Atlantic	Acinetobacter baumannii	Aminoglycosides	114	44
2011	South Atlantic	Acinetobacter baumannii	Aminoglycosides	100	34
2012	South Atlantic	Acinetobacter baumannii	Aminoglycosides	44	34
2001	West North Central	Acinetobacter baumannii	Aminoglycosides	35	31
2003	West North Central	Acinetobacter baumannii	Aminoglycosides	47	109
2004	West North Central	Acinetobacter baumannii	Aminoglycosides	50	38
2005	West North Central	Acinetobacter baumannii	Aminoglycosides	42	40
2006	West North Central	Acinetobacter baumannii	Aminoglycosides	33	48
2008	West North Central	Acinetobacter baumannii	Aminoglycosides	31	45
2009	West North Central	Acinetobacter baumannii	Aminoglycosides	39	36
1999	West South Central	Acinetobacter baumannii	Aminoglycosides	67	22
2000	West South Central	Acinetobacter baumannii	Aminoglycosides	56	29
2001	West South Central	Acinetobacter baumannii	Aminoglycosides	60	15
2002	West South Central	Acinetobacter baumannii	Aminoglycosides	63	43
2003	West South Central	Acinetobacter baumannii	Aminoglycosides	61	23
2004	West South Central	Acinetobacter baumannii	Aminoglycosides	90	37
2005	West South Central	Acinetobacter baumannii	Aminoglycosides	92	25
2006	West South Central	Acinetobacter baumannii	Aminoglycosides	91	38
2007	West South Central	Acinetobacter baumannii	Aminoglycosides	114	41
2008	West South Central	Acinetobacter baumannii	Aminoglycosides	98	51
2009	West South Central	Acinetobacter baumannii	Aminoglycosides	78	54
2010	West South Central	Acinetobacter baumannii	Aminoglycosides	64	47
2011	West South Central	Acinetobacter baumannii	Aminoglycosides	49	47
2012	West South Central	Acinetobacter baumannii	Aminoglycosides	52	73
1999	East North Central	Acinetobacter baumannii	Carbapenems	134	1
2000	East North Central	Acinetobacter baumannii	Carbapenems	148	3
2001	East North Central	Acinetobacter baumannii	Carbapenems	170	12
2002	East North Central	Acinetobacter baumannii	Carbapenems	111	10
2003	East North Central	Acinetobacter baumannii	Carbapenems	104	9
2004	East North Central	Acinetobacter baumannii	Carbapenems	213	9
2005	East North Central	Acinetobacter baumannii	Carbapenems	157	27
2006	East North Central	Acinetobacter baumannii	Carbapenems	130	17
2007	East North Central	Acinetobacter baumannii	Carbapenems	191	57
2008	East North Central	Acinetobacter baumannii	Carbapenems	166	59
2009	East North Central	Acinetobacter baumannii	Carbapenems	165	69
2010	East North Central	Acinetobacter baumannii	Carbapenems	122	64
2011	East North Central	Acinetobacter baumannii	Carbapenems	83	57
1999	East South Central	Acinetobacter baumannii	Carbapenems	37	16
2000	East South Central	Acinetobacter baumannii	Carbapenems	44	9
2001	East South Central	Acinetobacter baumannii	Carbapenems	47	15
2002	East South Central	Acinetobacter baumannii	Carbapenems	48	6
2003	East South Central	Acinetobacter baumannii	Carbapenems	76	7
2004	East South Central	Acinetobacter baumannii	Carbapenems	64	6
2005	East South Central	Acinetobacter baumannii	Carbapenems	69	14
2006	East South Central	Acinetobacter baumannii	Carbapenems	36	14
1999	Mid Atlantic	Acinetobacter baumannii	Carbapenems	45	33
2000	Mid Atlantic	Acinetobacter baumannii	Carbapenems	147	31
2001	Mid Atlantic	Acinetobacter baumannii	Carbapenems	215	37
2002	Mid Atlantic	Acinetobacter baumannii	Carbapenems	313	61
2003	Mid Atlantic	Acinetobacter baumannii	Carbapenems	251	54
2004	Mid Atlantic	Acinetobacter baumannii	Carbapenems	207	40
2005	Mid Atlantic	Acinetobacter baumannii	Carbapenems	172	41
2006	Mid Atlantic	Acinetobacter baumannii	Carbapenems	124	19
2007	Mid Atlantic	Acinetobacter baumannii	Carbapenems	109	37
2008	Mid Atlantic	Acinetobacter baumannii	Carbapenems	115	44
2009	Mid Atlantic	Acinetobacter baumannii	Carbapenems	48	52
2004	Mountain	Acinetobacter baumannii	Carbapenems	60	15
2005	Mountain	Acinetobacter baumannii	Carbapenems	64	31
2006	Mountain	Acinetobacter baumannii	Carbapenems	58	45
2007	Mountain	Acinetobacter baumannii	Carbapenems	44	55
2006	New England	Acinetobacter baumannii	Carbapenems	60	12
2007	New England	Acinetobacter baumannii	Carbapenems	43	16
1999	Pacific	Acinetobacter baumannii	Carbapenems	48	0
2000	Pacific	Acinetobacter baumannii	Carbapenems	74	0
2001	Pacific	Acinetobacter baumannii	Carbapenems	87	0
2002	Pacific	Acinetobacter baumannii	Carbapenems	104	1
2003	Pacific	Acinetobacter baumannii	Carbapenems	138	1
2004	Pacific	Acinetobacter baumannii	Carbapenems	196	29
2005	Pacific	Acinetobacter baumannii	Carbapenems	195	31
2006	Pacific	Acinetobacter baumannii	Carbapenems	164	18
2007	Pacific	Acinetobacter baumannii	Carbapenems	137	28
2008	Pacific	Acinetobacter baumannii	Carbapenems	138	35
2009	Pacific	Acinetobacter baumannii	Carbapenems	109	34
2010	Pacific	Acinetobacter baumannii	Carbapenems	74	31
2011	Pacific	Acinetobacter baumannii	Carbapenems	86	27
1999	South Atlantic	Acinetobacter baumannii	Carbapenems	74	3
2000	South Atlantic	Acinetobacter baumannii	Carbapenems	177	8
2001	South Atlantic	Acinetobacter baumannii	Carbapenems	254	9
2002	South Atlantic	Acinetobacter baumannii	Carbapenems	255	13
2003	South Atlantic	Acinetobacter baumannii	Carbapenems	288	13
2004	South Atlantic	Acinetobacter baumannii	Carbapenems	311	16
2005	South Atlantic	Acinetobacter baumannii	Carbapenems	337	18
2006	South Atlantic	Acinetobacter baumannii	Carbapenems	195	28
2007	South Atlantic	Acinetobacter baumannii	Carbapenems	193	30
2008	South Atlantic	Acinetobacter baumannii	Carbapenems	182	31
2009	South Atlantic	Acinetobacter baumannii	Carbapenems	156	48
2010	South Atlantic	Acinetobacter baumannii	Carbapenems	108	39
2011	South Atlantic	Acinetobacter baumannii	Carbapenems	98	29
2012	South Atlantic	Acinetobacter baumannii	Carbapenems	43	33
2001	West North Central	Acinetobacter baumannii	Carbapenems	35	6
2003	West North Central	Acinetobacter baumannii	Carbapenems	44	66
2004	West North Central	Acinetobacter baumannii	Carbapenems	40	20
2005	West North Central	Acinetobacter baumannii	Carbapenems	32	25
2006	West North Central	Acinetobacter baumannii	Carbapenems	33	42
2008	West North Central	Acinetobacter baumannii	Carbapenems	31	29
2009	West North Central	Acinetobacter baumannii	Carbapenems	38	45
1999	West South Central	Acinetobacter baumannii	Carbapenems	65	6
2000	West South Central	Acinetobacter baumannii	Carbapenems	54	0
2001	West South Central	Acinetobacter baumannii	Carbapenems	60	0
2002	West South Central	Acinetobacter baumannii	Carbapenems	59	5
2003	West South Central	Acinetobacter baumannii	Carbapenems	60	0
2004	West South Central	Acinetobacter baumannii	Carbapenems	85	6
2005	West South Central	Acinetobacter baumannii	Carbapenems	89	7
2006	West South Central	Acinetobacter baumannii	Carbapenems	90	17
2007	West South Central	Acinetobacter baumannii	Carbapenems	110	26
2008	West South Central	Acinetobacter baumannii	Carbapenems	96	31
2009	West South Central	Acinetobacter baumannii	Carbapenems	76	41
2010	West South Central	Acinetobacter baumannii	Carbapenems	60	45
2011	West South Central	Acinetobacter baumannii	Carbapenems	48	52
2012	West South Central	Acinetobacter baumannii	Carbapenems	52	60
1999	East North Central	Acinetobacter baumannii	Fluoroquinolones	140	53
2000	East North Central	Acinetobacter baumannii	Fluoroquinolones	154	51
2001	East North Central	Acinetobacter baumannii	Fluoroquinolones	195	57
2002	East North Central	Acinetobacter baumannii	Fluoroquinolones	115	56
2003	East North Central	Acinetobacter baumannii	Fluoroquinolones	104	50
2004	East North Central	Acinetobacter baumannii	Fluoroquinolones	218	56
2005	East North Central	Acinetobacter baumannii	Fluoroquinolones	158	53
2006	East North Central	Acinetobacter baumannii	Fluoroquinolones	131	53
2007	East North Central	Acinetobacter baumannii	Fluoroquinolones	190	73
2008	East North Central	Acinetobacter baumannii	Fluoroquinolones	145	79
2009	East North Central	Acinetobacter baumannii	Fluoroquinolones	145	84
2010	East North Central	Acinetobacter baumannii	Fluoroquinolones	105	74
2011	East North Central	Acinetobacter baumannii	Fluoroquinolones	70	70
1999	East South Central	Acinetobacter baumannii	Fluoroquinolones	37	38
2000	East South Central	Acinetobacter baumannii	Fluoroquinolones	44	27
2001	East South Central	Acinetobacter baumannii	Fluoroquinolones	46	41
2002	East South Central	Acinetobacter baumannii	Fluoroquinolones	45	53
2003	East South Central	Acinetobacter baumannii	Fluoroquinolones	77	61
2004	East South Central	Acinetobacter baumannii	Fluoroquinolones	71	44
2005	East South Central	Acinetobacter baumannii	Fluoroquinolones	81	56
2006	East South Central	Acinetobacter baumannii	Fluoroquinolones	36	67
1999	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	46	61
2000	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	150	68
2001	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	214	63
2002	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	313	78
2003	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	244	68
2004	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	189	56
2005	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	163	49
2006	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	122	48
2007	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	106	47
2008	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	107	67
2009	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	52	58
2010	Mid Atlantic	Acinetobacter baumannii	Fluoroquinolones	31	65
2003	Mountain	Acinetobacter baumannii	Fluoroquinolones	34	68
2004	Mountain	Acinetobacter baumannii	Fluoroquinolones	61	110
2005	Mountain	Acinetobacter baumannii	Fluoroquinolones	64	95
2006	Mountain	Acinetobacter baumannii	Fluoroquinolones	58	102
2007	Mountain	Acinetobacter baumannii	Fluoroquinolones	44	98
2006	New England	Acinetobacter baumannii	Fluoroquinolones	60	40
2007	New England	Acinetobacter baumannii	Fluoroquinolones	42	24
1999	Pacific	Acinetobacter baumannii	Fluoroquinolones	58	34
2000	Pacific	Acinetobacter baumannii	Fluoroquinolones	78	40
2001	Pacific	Acinetobacter baumannii	Fluoroquinolones	93	38
2002	Pacific	Acinetobacter baumannii	Fluoroquinolones	112	61
2003	Pacific	Acinetobacter baumannii	Fluoroquinolones	146	60
2004	Pacific	Acinetobacter baumannii	Fluoroquinolones	204	65
2005	Pacific	Acinetobacter baumannii	Fluoroquinolones	201	57
2006	Pacific	Acinetobacter baumannii	Fluoroquinolones	169	44
2007	Pacific	Acinetobacter baumannii	Fluoroquinolones	139	59
2008	Pacific	Acinetobacter baumannii	Fluoroquinolones	139	63
2009	Pacific	Acinetobacter baumannii	Fluoroquinolones	113	57
2010	Pacific	Acinetobacter baumannii	Fluoroquinolones	77	43
2011	Pacific	Acinetobacter baumannii	Fluoroquinolones	86	36
1999	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	97	26
2000	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	196	35
2001	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	276	49
2002	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	271	55
2003	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	295	46
2004	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	324	49
2005	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	356	50
2006	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	202	49
2007	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	193	41
2008	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	190	53
2009	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	155	68
2010	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	112	50
2011	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	100	47
2012	South Atlantic	Acinetobacter baumannii	Fluoroquinolones	44	41
2001	West North Central	Acinetobacter baumannii	Fluoroquinolones	35	37
2003	West North Central	Acinetobacter baumannii	Fluoroquinolones	46	78
2004	West North Central	Acinetobacter baumannii	Fluoroquinolones	42	48
2005	West North Central	Acinetobacter baumannii	Fluoroquinolones	39	54
2006	West North Central	Acinetobacter baumannii	Fluoroquinolones	33	52
2008	West North Central	Acinetobacter baumannii	Fluoroquinolones	30	53
2009	West North Central	Acinetobacter baumannii	Fluoroquinolones	39	54
1999	West South Central	Acinetobacter baumannii	Fluoroquinolones	67	18
2000	West South Central	Acinetobacter baumannii	Fluoroquinolones	55	15
2001	West South Central	Acinetobacter baumannii	Fluoroquinolones	60	10
2002	West South Central	Acinetobacter baumannii	Fluoroquinolones	60	38
2003	West South Central	Acinetobacter baumannii	Fluoroquinolones	61	23
2004	West South Central	Acinetobacter baumannii	Fluoroquinolones	89	35
2005	West South Central	Acinetobacter baumannii	Fluoroquinolones	93	27
2006	West South Central	Acinetobacter baumannii	Fluoroquinolones	91	44
2007	West South Central	Acinetobacter baumannii	Fluoroquinolones	113	42
2008	West South Central	Acinetobacter baumannii	Fluoroquinolones	97	49
2009	West South Central	Acinetobacter baumannii	Fluoroquinolones	78	53
2010	West South Central	Acinetobacter baumannii	Fluoroquinolones	65	46
2011	West South Central	Acinetobacter baumannii	Fluoroquinolones	49	59
2012	West South Central	Acinetobacter baumannii	Fluoroquinolones	53	77
2008	East North Central	Acinetobacter baumannii	Polymyxins	33	0
2009	East North Central	Acinetobacter baumannii	Polymyxins	45	4
2010	East North Central	Acinetobacter baumannii	Polymyxins	34	0
2008	Mid Atlantic	Acinetobacter baumannii	Polymyxins	31	0
1999	East North Central	Enterococcus faecalis	Aminoglycosides	679	41
2000	East North Central	Enterococcus faecalis	Aminoglycosides	790	40
2001	East North Central	Enterococcus faecalis	Aminoglycosides	1048	40
2002	East North Central	Enterococcus faecalis	Aminoglycosides	668	34
2003	East North Central	Enterococcus faecalis	Aminoglycosides	762	36
2004	East North Central	Enterococcus faecalis	Aminoglycosides	1083	36
2005	East North Central	Enterococcus faecalis	Aminoglycosides	788	35
2006	East North Central	Enterococcus faecalis	Aminoglycosides	566	44
2007	East North Central	Enterococcus faecalis	Aminoglycosides	467	40
2008	East North Central	Enterococcus faecalis	Aminoglycosides	422	44
2009	East North Central	Enterococcus faecalis	Aminoglycosides	360	44
2010	East North Central	Enterococcus faecalis	Aminoglycosides	425	44
2011	East North Central	Enterococcus faecalis	Aminoglycosides	382	45
2012	East North Central	Enterococcus faecalis	Aminoglycosides	126	44
1999	East South Central	Enterococcus faecalis	Aminoglycosides	127	45
2000	East South Central	Enterococcus faecalis	Aminoglycosides	190	45
2001	East South Central	Enterococcus faecalis	Aminoglycosides	321	50
2002	East South Central	Enterococcus faecalis	Aminoglycosides	338	57
2003	East South Central	Enterococcus faecalis	Aminoglycosides	316	50
2004	East South Central	Enterococcus faecalis	Aminoglycosides	443	46
2005	East South Central	Enterococcus faecalis	Aminoglycosides	476	41
2006	East South Central	Enterococcus faecalis	Aminoglycosides	190	35
2007	East South Central	Enterococcus faecalis	Aminoglycosides	30	10
2008	East South Central	Enterococcus faecalis	Aminoglycosides	62	23
2009	East South Central	Enterococcus faecalis	Aminoglycosides	70	30
2010	East South Central	Enterococcus faecalis	Aminoglycosides	58	29
2011	East South Central	Enterococcus faecalis	Aminoglycosides	37	41
1999	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	89	33
2000	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	441	44
2001	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	677	39
2002	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	638	38
2003	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	681	32
2004	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	810	30
2005	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	799	29
2006	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	844	33
2007	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	791	27
2008	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	711	23
2009	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	482	31
2010	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	424	23
2011	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	344	31
2012	Mid Atlantic	Enterococcus faecalis	Aminoglycosides	148	31
2001	Mountain	Enterococcus faecalis	Aminoglycosides	30	17
2002	Mountain	Enterococcus faecalis	Aminoglycosides	31	16
2003	Mountain	Enterococcus faecalis	Aminoglycosides	39	13
2004	Mountain	Enterococcus faecalis	Aminoglycosides	59	41
2005	Mountain	Enterococcus faecalis	Aminoglycosides	67	21
1999	New England	Enterococcus faecalis	Aminoglycosides	41	44
2000	New England	Enterococcus faecalis	Aminoglycosides	48	46
2001	New England	Enterococcus faecalis	Aminoglycosides	44	39
2002	New England	Enterococcus faecalis	Aminoglycosides	38	37
2003	New England	Enterococcus faecalis	Aminoglycosides	41	44
2004	New England	Enterococcus faecalis	Aminoglycosides	54	26
2005	New England	Enterococcus faecalis	Aminoglycosides	47	23
2006	New England	Enterococcus faecalis	Aminoglycosides	72	35
2007	New England	Enterococcus faecalis	Aminoglycosides	98	30
2008	New England	Enterococcus faecalis	Aminoglycosides	76	24
2009	New England	Enterococcus faecalis	Aminoglycosides	84	31
2010	New England	Enterococcus faecalis	Aminoglycosides	60	23
2011	New England	Enterococcus faecalis	Aminoglycosides	65	23
1999	Pacific	Enterococcus faecalis	Aminoglycosides	292	34
2000	Pacific	Enterococcus faecalis	Aminoglycosides	289	36
2001	Pacific	Enterococcus faecalis	Aminoglycosides	535	31
2002	Pacific	Enterococcus faecalis	Aminoglycosides	603	30
2003	Pacific	Enterococcus faecalis	Aminoglycosides	785	29
2004	Pacific	Enterococcus faecalis	Aminoglycosides	963	28
2005	Pacific	Enterococcus faecalis	Aminoglycosides	781	30
2006	Pacific	Enterococcus faecalis	Aminoglycosides	749	28
2007	Pacific	Enterococcus faecalis	Aminoglycosides	796	27
2008	Pacific	Enterococcus faecalis	Aminoglycosides	629	24
2009	Pacific	Enterococcus faecalis	Aminoglycosides	587	27
2010	Pacific	Enterococcus faecalis	Aminoglycosides	497	33
2011	Pacific	Enterococcus faecalis	Aminoglycosides	491	28
2012	Pacific	Enterococcus faecalis	Aminoglycosides	208	30
1999	South Atlantic	Enterococcus faecalis	Aminoglycosides	340	23
2000	South Atlantic	Enterococcus faecalis	Aminoglycosides	493	32
2001	South Atlantic	Enterococcus faecalis	Aminoglycosides	715	41
2002	South Atlantic	Enterococcus faecalis	Aminoglycosides	945	40
2003	South Atlantic	Enterococcus faecalis	Aminoglycosides	1111	34
2004	South Atlantic	Enterococcus faecalis	Aminoglycosides	1085	34
2005	South Atlantic	Enterococcus faecalis	Aminoglycosides	1191	33
2006	South Atlantic	Enterococcus faecalis	Aminoglycosides	749	33
