drug_group	state	year	value
overall	Indiana	2012	1047
overall	Iowa	1999	1065
overall	Iowa	2000	944
overall	Iowa	2001	996
overall	Iowa	2002	982
overall	Iowa	2003	1011
overall	Iowa	2004	957
overall	Iowa	2005	1029
overall	Iowa	2006	985
overall	Iowa	2007	899
overall	Iowa	2008	899
overall	Iowa	2009	877
overall	Iowa	2010	860
overall	Iowa	2011	972
overall	Iowa	2012	1073
overall	Kansas	1999	1117
overall	Kansas	2000	982
overall	Kansas	2001	1010
overall	Kansas	2002	983
overall	Kansas	2003	1000
overall	Kansas	2004	915
overall	Kansas	2005	970
overall	Kansas	2006	966
overall	Kansas	2007	991
overall	Kansas	2008	1013
overall	Kansas	2009	970
overall	Kansas	2010	966
overall	Kansas	2011	1021
overall	Kansas	2012	1023
overall	Kentucky	1999	1229
overall	Kentucky	2000	1179
overall	Kentucky	2001	1197
overall	Kentucky	2002	1439
overall	Kentucky	2003	1228
overall	Kentucky	2004	1117
overall	Kentucky	2005	1188
overall	Kentucky	2006	1192
overall	Kentucky	2007	1208
overall	Kentucky	2008	1231
overall	Kentucky	2009	1268
overall	Kentucky	2010	1202
overall	Kentucky	2011	1364
overall	Kentucky	2012	1357
overall	Louisiana	1999	1094
overall	Louisiana	2000	1079
overall	Louisiana	2001	1067
overall	Louisiana	2002	1047
overall	Louisiana	2003	1078
overall	Louisiana	2004	991
overall	Louisiana	2005	1044
overall	Louisiana	2006	1131
overall	Louisiana	2007	1144
overall	Louisiana	2008	1159
overall	Louisiana	2009	1169
overall	Louisiana	2010	1129
overall	Louisiana	2011	1194
overall	Louisiana	2012	1209
overall	Maine	1999	834
overall	Maine	2000	824
overall	Maine	2001	813
overall	Maine	2002	789
overall	Maine	2003	855
overall	Maine	2004	786
overall	Maine	2005	745
overall	Maine	2006	752
overall	Maine	2007	728
overall	Maine	2008	727
overall	Maine	2009	708
overall	Maine	2010	660
overall	Maine	2011	795
overall	Maine	2012	793
overall	Maryland	1999	886
overall	Maryland	2000	884
overall	Maryland	2001	888
overall	Maryland	2002	874
overall	Maryland	2003	935
overall	Maryland	2004	861
overall	Maryland	2005	855
overall	Maryland	2006	835
overall	Maryland	2007	822
overall	Maryland	2008	823
overall	Maryland	2009	820
overall	Maryland	2010	761
overall	Maryland	2011	905
overall	Maryland	2012	887
overall	Massachusetts	1999	868
overall	Massachusetts	2000	896
overall	Massachusetts	2001	855
overall	Massachusetts	2002	829
overall	Massachusetts	2003	880
overall	Massachusetts	2004	820
overall	Massachusetts	2005	874
overall	Massachusetts	2006	907
overall	Massachusetts	2007	876
overall	Massachusetts	2008	864
overall	Massachusetts	2009	858
overall	Massachusetts	2010	800
overall	Massachusetts	2011	880
overall	Massachusetts	2012	858
overall	Michigan	1999	999
overall	Michigan	2000	950
overall	Michigan	2001	951
overall	Michigan	2002	908
overall	Michigan	2003	919
overall	Michigan	2004	851
overall	Michigan	2005	892
overall	Michigan	2006	913
overall	Michigan	2007	934
overall	Michigan	2008	933
overall	Michigan	2009	930
overall	Michigan	2010	917
overall	Michigan	2011	1037
overall	Michigan	2012	916
overall	Minnesota	1999	810
overall	Minnesota	2000	741
overall	Minnesota	2001	745
overall	Minnesota	2002	700
overall	Minnesota	2003	705
overall	Minnesota	2004	671
overall	Minnesota	2005	728
overall	Minnesota	2006	717
overall	Minnesota	2007	697
overall	Minnesota	2008	702
overall	Minnesota	2009	699
overall	Minnesota	2010	685
overall	Minnesota	2011	791
overall	Minnesota	2012	756
overall	Mississippi	1999	1176
overall	Mississippi	2000	1107
overall	Mississippi	2001	1137
overall	Mississippi	2002	1091
overall	Mississippi	2003	1148
overall	Mississippi	2004	1032
overall	Mississippi	2005	1055
overall	Mississippi	2006	1077
overall	Mississippi	2007	1078
overall	Mississippi	2008	1121
overall	Mississippi	2009	1162
overall	Mississippi	2010	1145
overall	Mississippi	2011	1248
overall	Mississippi	2012	1325
overall	Missouri	1999	1110
overall	Missouri	2000	1028
overall	Missouri	2001	1046
overall	Missouri	2002	1020
overall	Missouri	2003	1057
overall	Missouri	2004	1002
overall	Missouri	2005	1027
overall	Missouri	2006	984
overall	Missouri	2007	983
overall	Missouri	2008	980
overall	Missouri	2009	965
overall	Missouri	2010	936
overall	Missouri	2011	1002
overall	Missouri	2012	995
overall	Montana	1999	865
overall	Montana	2000	783
overall	Montana	2001	779
overall	Montana	2002	742
overall	Montana	2003	749
overall	Montana	2004	690
overall	Montana	2005	739
overall	Montana	2006	698
overall	Montana	2007	681
overall	Montana	2008	689
overall	Montana	2009	672
overall	Montana	2010	642
overall	Montana	2011	746
overall	Montana	2012	742
overall	Nebraska	1999	1123
overall	Nebraska	2000	1021
overall	Nebraska	2001	1067
overall	Nebraska	2002	1042
overall	Nebraska	2003	1066
overall	Nebraska	2004	997
overall	Nebraska	2005	1022
overall	Nebraska	2006	989
overall	Nebraska	2007	972
overall	Nebraska	2008	977
overall	Nebraska	2009	953
overall	Nebraska	2010	942
overall	Nebraska	2011	993
overall	Nebraska	2012	1038
overall	Nevada	1999	876
overall	Nevada	2000	834
overall	Nevada	2001	814
overall	Nevada	2002	789
overall	Nevada	2003	808
overall	Nevada	2004	711
overall	Nevada	2005	783
overall	Nevada	2006	726
overall	Nevada	2007	690
overall	Nevada	2008	698
overall	Nevada	2009	674
overall	Nevada	2010	641
overall	Nevada	2011	790
overall	Nevada	2012	784
overall	New Hampshire	1999	861
overall	New Hampshire	2000	861
overall	New Hampshire	2001	809
overall	New Hampshire	2002	772
overall	New Hampshire	2003	809
overall	New Hampshire	2004	763
overall	New Hampshire	2005	744
overall	New Hampshire	2006	800
overall	New Hampshire	2007	753
overall	New Hampshire	2008	702
overall	New Hampshire	2009	680
overall	New Hampshire	2010	624
overall	New Hampshire	2011	841
overall	New Hampshire	2012	869
overall	New Jersey	1999	1028
overall	New Jersey	2000	1009
overall	New Jersey	2001	971
overall	New Jersey	2002	939
overall	New Jersey	2003	997
overall	New Jersey	2004	916
overall	New Jersey	2005	971
overall	New Jersey	2006	961
overall	New Jersey	2007	950
overall	New Jersey	2008	929
overall	New Jersey	2009	945
overall	New Jersey	2010	880
overall	New Jersey	2011	1027
overall	New Jersey	2012	1009
overall	New Mexico	1999	727
overall	New Mexico	2000	674
overall	New Mexico	2001	668
overall	New Mexico	2002	675
overall	New Mexico	2003	673
overall	New Mexico	2004	611
overall	New Mexico	2005	669
overall	New Mexico	2006	666
overall	New Mexico	2007	671
overall	New Mexico	2008	682
overall	New Mexico	2009	674
overall	New Mexico	2010	693
overall	New Mexico	2011	777
overall	New Mexico	2012	770
overall	New York	1999	961
overall	New York	2000	943
overall	New York	2001	921
overall	New York	2002	897
overall	New York	2003	937
overall	New York	2004	882
overall	New York	2005	909
overall	New York	2006	914
overall	New York	2007	911
overall	New York	2008	899
overall	New York	2009	902
overall	New York	2010	845
overall	New York	2011	926
overall	New York	2012	930
overall	North Carolina	1999	1012
overall	North Carolina	2000	989
overall	North Carolina	2001	958
overall	North Carolina	2002	907
overall	North Carolina	2003	981
overall	North Carolina	2004	863
overall	North Carolina	2005	927
overall	North Carolina	2006	921
overall	North Carolina	2007	910
overall	North Carolina	2008	896
overall	North Carolina	2009	883
overall	North Carolina	2010	821
overall	North Carolina	2011	928
overall	North Carolina	2012	979
overall	North Dakota	1999	993
overall	North Dakota	2000	914
overall	North Dakota	2001	938
overall	North Dakota	2002	918
overall	North Dakota	2003	968
overall	North Dakota	2004	913
overall	North Dakota	2005	1001
overall	North Dakota	2006	990
overall	North Dakota	2007	993
overall	North Dakota	2008	973
overall	North Dakota	2009	946
overall	North Dakota	2010	960
overall	North Dakota	2011	962
overall	North Dakota	2012	925
overall	Ohio	1999	993
overall	Ohio	2000	981
overall	Ohio	2001	985
overall	Ohio	2002	961
overall	Ohio	2003	981
overall	Ohio	2004	915
overall	Ohio	2005	970
overall	Ohio	2006	969
overall	Ohio	2007	962
overall	Ohio	2008	991
overall	Ohio	2009	978
overall	Ohio	2010	884
overall	Ohio	2011	1015
overall	Ohio	2012	962
